benchmark,raw_file,compute_capacity,sim_instructions,scheduler,intermediate_capacity,min_layer_distance,compile_mem_accesses,compile_prefetch_coverage,baseline_ipc,baseline_mem_phys_qubits,ipc,mem_phys_qubits,sim_miss_rate_pct,prefetch_ready_on_load_pct
ethylene_oxide,BQ_v_c2h4o_ethylene_oxide_240_d100_t1M_T15M.xz,12,1000000,singlepass_eif,24,250,133353,0.999,0.858,0,0.835,143420,,99.9942144696115
ethylene_oxide,BQ_v_c2h4o_ethylene_oxide_240_d100_t1M_T15M.xz,12,1000000,singlepass_eif,32,250,133414,0.999,0.858,0,0.834,150460,,99.99710924175412
ethylene_oxide,BQ_v_c2h4o_ethylene_oxide_240_d100_t1M_T15M.xz,12,1000000,singlepass_eif,32,275,133461,0.999,0.858,0,0.834,150460,,99.99710924175412
ethylene_oxide,BQ_v_c2h4o_ethylene_oxide_240_d100_t1M_T15M.xz,12,1000000,singlepass_eif,32,300,117088,0.999,0.858,0,0.867,150460,,99.98961074941127
ethylene_oxide,BQ_v_c2h4o_ethylene_oxide_240_d100_t1M_T15M.xz,16,1000000,eif_baseline,0,0,121099,,0.883,0,0.193,115880,,
ethylene_oxide,BQ_v_c2h4o_ethylene_oxide_240_d100_t1M_T15M.xz,16,1000000,singlepass_eif,4,25,124399,0.961,0.883,0,0.635,125820,,91.12457784931982
ethylene_oxide,BQ_v_c2h4o_ethylene_oxide_240_d100_t1M_T15M.xz,16,1000000,singlepass_eif,4,50,116807,0.95,0.883,0,0.797,125820,,94.75441822070466
ethylene_oxide,BQ_v_c2h4o_ethylene_oxide_240_d100_t1M_T15M.xz,16,1000000,singlepass_eif,4,75,124389,0.917,0.883,0,0.625,125820,,97.0979079497908
ethylene_oxide,BQ_v_c2h4o_ethylene_oxide_240_d100_t1M_T15M.xz,16,1000000,singlepass_eif,8,75,97424,0.997,0.883,0,0.971,129340,,99.75992406900787
ethylene_oxide,BQ_v_c2h4o_ethylene_oxide_240_d100_t1M_T15M.xz,16,1000000,singlepass_eif,8,100,124371,0.997,0.883,0,0.838,129340,,99.62117740506523
ethylene_oxide,BQ_v_c2h4o_ethylene_oxide_240_d100_t1M_T15M.xz,16,1000000,singlepass_eif,8,125,116819,0.997,0.883,0,0.884,129340,,99.79054898214154
ethylene_oxide,BQ_v_c2h4o_ethylene_oxide_240_d100_t1M_T15M.xz,16,1000000,singlepass_eif,16,150,124360,0.999,0.883,0,0.843,136380,,99.9450867933738
ethylene_oxide,BQ_v_c2h4o_ethylene_oxide_240_d100_t1M_T15M.xz,16,1000000,singlepass_eif,16,175,124399,0.999,0.883,0,0.842,136380,,99.92676898666585
ethylene_oxide,BQ_v_c2h4o_ethylene_oxide_240_d100_t1M_T15M.xz,16,1000000,singlepass_eif,16,200,111994,0.998,0.883,0,0.887,136380,,99.9184814254105
ethylene_oxide,BQ_v_c2h4o_ethylene_oxide_240_d100_t1M_T15M.xz,16,1000000,singlepass_eif,24,200,124399,0.999,0.883,0,0.843,143420,,99.98474958823888
ethylene_oxide,BQ_v_c2h4o_ethylene_oxide_240_d100_t1M_T15M.xz,16,1000000,singlepass_eif,24,225,124400,0.999,0.883,0,0.843,143420,,99.98169950588665
ethylene_oxide,BQ_v_c2h4o_ethylene_oxide_240_d100_t1M_T15M.xz,16,1000000,singlepass_eif,24,250,124280,0.999,0.883,0,0.843,143420,,99.95124478166804
ethylene_oxide,BQ_v_c2h4o_ethylene_oxide_240_d100_t1M_T15M.xz,16,1000000,singlepass_eif,32,250,124384,0.999,0.883,0,0.842,122664,,99.990856167515
ethylene_oxide,BQ_v_c2h4o_ethylene_oxide_240_d100_t1M_T15M.xz,16,1000000,singlepass_eif,32,275,124401,0.999,0.883,0,0.842,122664,,99.99390411167667
ethylene_oxide,BQ_v_c2h4o_ethylene_oxide_240_d100_t1M_T15M.xz,16,1000000,singlepass_eif,32,300,122785,0.999,0.883,0,0.85,122664,,99.98448698458006
hc3h2cn,BQ_v_hc3h2cn_288_d100_t1M_T63M.xz,4,1000000,eif_baseline,0,0,144874,,0.844,0,0.165,141800,,
hc3h2cn,BQ_v_hc3h2cn_288_d100_t1M_T63M.xz,4,1000000,singlepass_eif,4,25,144873,0.909,0.844,0,0.455,151740,,82.27339828757012
hc3h2cn,BQ_v_hc3h2cn_288_d100_t1M_T63M.xz,4,1000000,singlepass_eif,4,50,144873,0.832,0.844,0,0.481,151740,,90.6044266098188
hc3h2cn,BQ_v_hc3h2cn_288_d100_t1M_T63M.xz,4,1000000,singlepass_eif,4,75,144875,0.796,0.844,0,0.477,151740,,94.20500403551252
hc3h2cn,BQ_v_hc3h2cn_288_d100_t1M_T63M.xz,4,1000000,singlepass_eif,8,75,144873,0.976,0.844,0,0.728,155260,,97.44639645870798
hc3h2cn,BQ_v_hc3h2cn_288_d100_t1M_T63M.xz,4,1000000,singlepass_eif,8,100,144875,0.969,0.844,0,0.724,155260,,97.67744435832134
hc3h2cn,BQ_v_hc3h2cn_288_d100_t1M_T63M.xz,4,1000000,singlepass_eif,8,125,144872,0.961,0.844,0,0.743,155260,,98.2445971681709
hc3h2cn,BQ_v_hc3h2cn_288_d100_t1M_T63M.xz,4,1000000,singlepass_eif,16,150,144873,0.988,0.844,0,0.738,162300,,98.05951197968422
hc3h2cn,BQ_v_hc3h2cn_288_d100_t1M_T63M.xz,4,1000000,singlepass_eif,16,175,144873,0.986,0.844,0,0.741,162300,,98.09460690912104
hc3h2cn,BQ_v_hc3h2cn_288_d100_t1M_T63M.xz,4,1000000,singlepass_eif,16,200,144875,0.984,0.844,0,0.736,162300,,98.0929513716399
hc3h2cn,BQ_v_hc3h2cn_288_d100_t1M_T63M.xz,4,1000000,singlepass_eif,24,200,144873,0.995,0.844,0,0.751,169340,,98.38980484985274
hc3h2cn,BQ_v_hc3h2cn_288_d100_t1M_T63M.xz,4,1000000,singlepass_eif,24,225,144872,0.993,0.844,0,0.742,169340,,98.3106432232817
hc3h2cn,BQ_v_hc3h2cn_288_d100_t1M_T63M.xz,4,1000000,singlepass_eif,24,250,144874,0.993,0.844,0,0.751,169340,,98.36950534317506
hc3h2cn,BQ_v_hc3h2cn_288_d100_t1M_T63M.xz,4,1000000,singlepass_eif,32,250,144875,0.996,0.844,0,0.757,176380,,98.62366418504986
hc3h2cn,BQ_v_hc3h2cn_288_d100_t1M_T63M.xz,4,1000000,singlepass_eif,32,275,144870,0.995,0.844,0,0.756,176380,,98.56040001098931
hc3h2cn,BQ_v_hc3h2cn_288_d100_t1M_T63M.xz,4,1000000,singlepass_eif,32,300,144872,0.994,0.844,0,0.761,176380,,98.64252150256932
hc3h2cn,BQ_v_hc3h2cn_288_d100_t1M_T63M.xz,8,1000000,eif_baseline,0,0,126608,,0.851,0,0.169,141800,,
hc3h2cn,BQ_v_hc3h2cn_288_d100_t1M_T63M.xz,8,1000000,singlepass_eif,4,25,125104,0.937,0.851,0,0.512,151740,,85.49421166175443
hc3h2cn,BQ_v_hc3h2cn_288_d100_t1M_T63M.xz,8,1000000,singlepass_eif,4,50,112652,0.927,0.851,0,0.665,151740,,92.49039965865452
hc3h2cn,BQ_v_hc3h2cn_288_d100_t1M_T63M.xz,8,1000000,singlepass_eif,4,75,112606,0.906,0.851,0,0.663,151740,,94.51232738052201
hc3h2cn,BQ_v_hc3h2cn_288_d100_t1M_T63M.xz,8,1000000,singlepass_eif,8,75,112703,0.993,0.851,0,0.761,155260,,96.40819633392972
hc3h2cn,BQ_v_hc3h2cn_288_d100_t1M_T63M.xz,8,1000000,singlepass_eif,8,100,112686,0.99,0.851,0,0.761,155260,,96.51689189189189
hc3h2cn,BQ_v_hc3h2cn_288_d100_t1M_T63M.xz,8,1000000,singlepass_eif,8,125,112837,0.987,0.851,0,0.772,155260,,97.07192870782941
hc3h2cn,BQ_v_hc3h2cn_288_d100_t1M_T63M.xz,8,1000000,singlepass_eif,16,150,112704,0.998,0.851,0,0.771,162300,,96.94063004846527
hc3h2cn,BQ_v_hc3h2cn_288_d100_t1M_T63M.xz,8,1000000,singlepass_eif,16,175,112633,0.997,0.851,0,0.769,162300,,96.89455622098109
hc3h2cn,BQ_v_hc3h2cn_288_d100_t1M_T63M.xz,8,1000000,singlepass_eif,16,200,112103,0.997,0.851,0,0.772,162300,,97.02002276836537
hc3h2cn,BQ_v_hc3h2cn_288_d100_t1M_T63M.xz,8,1000000,singlepass_eif,24,200,126614,0.998,0.851,0,0.758,169340,,98.16038929987904
hc3h2cn,BQ_v_hc3h2cn_288_d100_t1M_T63M.xz,8,1000000,singlepass_eif,24,225,112599,0.998,0.851,0,0.78,169340,,97.36223907644808
hc3h2cn,BQ_v_hc3h2cn_288_d100_t1M_T63M.xz,8,1000000,singlepass_eif,24,250,112638,0.998,0.851,0,0.783,169340,,97.48020399946316
hc3h2cn,BQ_v_hc3h2cn_288_d100_t1M_T63M.xz,8,1000000,singlepass_eif,32,250,125469,0.998,0.851,0,0.77,176380,,98.35310180049493
hc3h2cn,BQ_v_hc3h2cn_288_d100_t1M_T63M.xz,8,1000000,singlepass_eif,32,275,112658,0.998,0.851,0,0.801,176380,,98.08406058782225
hc3h2cn,BQ_v_hc3h2cn_288_d100_t1M_T63M.xz,8,1000000,singlepass_eif,32,300,112628,0.998,0.851,0,0.803,176380,,98.13368055555556
hc3h2cn,BQ_v_hc3h2cn_288_d100_t1M_T63M.xz,12,1000000,eif_baseline,0,0,129685,,0.854,0,0.17,141800,,
hc3h2cn,BQ_v_hc3h2cn_288_d100_t1M_T63M.xz,12,1000000,singlepass_eif,4,25,129685,0.932,0.854,0,0.532,151740,,86.89850019536533
hc3h2cn,BQ_v_hc3h2cn_288_d100_t1M_T63M.xz,12,1000000,singlepass_eif,4,50,129886,0.887,0.854,0,0.538,151740,,92.6072377578135
hc3h2cn,BQ_v_hc3h2cn_288_d100_t1M_T63M.xz,12,1000000,singlepass_eif,4,75,129687,0.851,0.854,0,0.527,151740,,95.33998592720528
hc3h2cn,BQ_v_hc3h2cn_288_d100_t1M_T63M.xz,12,1000000,singlepass_eif,8,75,128754,0.992,0.854,0,0.748,155260,,97.65424073707713
hc3h2cn,BQ_v_hc3h2cn_288_d100_t1M_T63M.xz,12,1000000,singlepass_eif,8,100,128817,0.99,0.854,0,0.743,155260,,97.60935910478128
hc3h2cn,BQ_v_hc3h2cn_288_d100_t1M_T63M.xz,12,1000000,singlepass_eif,8,125,129650,0.985,0.854,0,0.749,155260,,97.82633147741971
hc3h2cn,BQ_v_hc3h2cn_288_d100_t1M_T63M.xz,12,1000000,singlepass_eif,16,150,128666,0.997,0.854,0,0.749,162300,,97.80306444344299
hc3h2cn,BQ_v_hc3h2cn_288_d100_t1M_T63M.xz,12,1000000,singlepass_eif,16,175,129700,0.996,0.854,0,0.749,162300,,97.8317778283633
hc3h2cn,BQ_v_hc3h2cn_288_d100_t1M_T63M.xz,12,1000000,singlepass_eif,16,200,128317,0.996,0.854,0,0.747,162300,,97.8586420103239
hc3h2cn,BQ_v_hc3h2cn_288_d100_t1M_T63M.xz,12,1000000,singlepass_eif,24,200,128678,0.997,0.854,0,0.765,169340,,98.32533871917866
hc3h2cn,BQ_v_hc3h2cn_288_d100_t1M_T63M.xz,12,1000000,singlepass_eif,24,225,127528,0.997,0.854,0,0.771,169340,,98.34189829931007
hc3h2cn,BQ_v_hc3h2cn_288_d100_t1M_T63M.xz,12,1000000,singlepass_eif,24,250,129705,0.997,0.854,0,0.764,169340,,98.25350695802828
hc3h2cn,BQ_v_hc3h2cn_288_d100_t1M_T63M.xz,12,1000000,singlepass_eif,32,250,129829,0.998,0.854,0,0.784,176380,,98.7275157320265
hc3h2cn,BQ_v_hc3h2cn_288_d100_t1M_T63M.xz,12,1000000,singlepass_eif,32,275,129758,0.998,0.854,0,0.768,176380,,98.46295469761213
hc3h2cn,BQ_v_hc3h2cn_288_d100_t1M_T63M.xz,12,1000000,singlepass_eif,32,300,129790,0.998,0.854,0,0.782,176380,,98.66852367688023
hc3h2cn,BQ_v_hc3h2cn_288_d100_t1M_T63M.xz,16,1000000,eif_baseline,0,0,122189,,0.862,0,0.172,141800,,
hc3h2cn,BQ_v_hc3h2cn_288_d100_t1M_T63M.xz,16,1000000,singlepass_eif,4,25,96804,0.957,0.862,0,0.707,151740,,92.99039887596597
hc3h2cn,BQ_v_hc3h2cn_288_d100_t1M_T63M.xz,16,1000000,singlepass_eif,4,50,123998,0.9,0.862,0,0.573,151740,,92.83118268813978
hc3h2cn,BQ_v_hc3h2cn_288_d100_t1M_T63M.xz,16,1000000,singlepass_eif,4,75,124190,0.877,0.862,0,0.574,151740,,95.08014547413794
hc3h2cn,BQ_v_hc3h2cn_288_d100_t1M_T63M.xz,16,1000000,singlepass_eif,8,75,123953,0.993,0.862,0,0.754,155260,,97.33551832969167
hc3h2cn,BQ_v_hc3h2cn_288_d100_t1M_T63M.xz,16,1000000,singlepass_eif,8,100,124133,0.991,0.862,0,0.757,155260,,97.47325152632533
hc3h2cn,BQ_v_hc3h2cn_288_d100_t1M_T63M.xz,16,1000000,singlepass_eif,8,125,124139,0.988,0.862,0,0.765,155260,,97.97558617355571
hc3h2cn,BQ_v_hc3h2cn_288_d100_t1M_T63M.xz,16,1000000,singlepass_eif,16,150,122140,0.997,0.862,0,0.776,162300,,97.87564927996019
hc3h2cn,BQ_v_hc3h2cn_288_d100_t1M_T63M.xz,16,1000000,singlepass_eif,16,175,96784,0.996,0.862,0,0.817,162300,,97.81608765565984
hc3h2cn,BQ_v_hc3h2cn_288_d100_t1M_T63M.xz,16,1000000,singlepass_eif,16,200,124097,0.996,0.862,0,0.762,162300,,97.73302023121387
hc3h2cn,BQ_v_hc3h2cn_288_d100_t1M_T63M.xz,16,1000000,singlepass_eif,24,200,121801,0.997,0.862,0,0.786,169340,,98.0006861919466
hc3h2cn,BQ_v_hc3h2cn_288_d100_t1M_T63M.xz,16,1000000,singlepass_eif,24,225,124026,0.998,0.862,0,0.777,169340,,98.14546770399855
hc3h2cn,BQ_v_hc3h2cn_288_d100_t1M_T63M.xz,16,1000000,singlepass_eif,24,250,109042,0.998,0.862,0,0.789,169340,,97.82103235235502
hc3h2cn,BQ_v_hc3h2cn_288_d100_t1M_T63M.xz,16,1000000,singlepass_eif,32,250,122227,0.998,0.862,0,0.785,176380,,98.33950543543185
hc3h2cn,BQ_v_hc3h2cn_288_d100_t1M_T63M.xz,16,1000000,singlepass_eif,32,275,124033,0.998,0.862,0,0.791,176380,,98.51773902585688
hc3h2cn,BQ_v_hc3h2cn_288_d100_t1M_T63M.xz,16,1000000,singlepass_eif,32,300,124028,0.998,0.862,0,0.789,176380,,98.51297764960346
shor_rsa24,shor_modmult_N16777259_a3_pow0.bin,4,1000000,eif_baseline,0,0,60382,,0.933,0,0.26,88084,,
shor_rsa24,shor_modmult_N16777259_a3_pow0.bin,4,1000000,singlepass_eif,4,25,60360,0.952,0.933,0,0.519,98024,,78.94516283524904
shor_rsa24,shor_modmult_N16777259_a3_pow0.bin,4,1000000,singlepass_eif,4,50,60366,0.86,0.933,0,0.649,98024,,98.18435754189944
shor_rsa24,shor_modmult_N16777259_a3_pow0.bin,4,1000000,singlepass_eif,4,75,60294,0.807,0.933,0,0.607,98024,,99.73779321097017
shor_rsa24,shor_modmult_N16777259_a3_pow0.bin,4,1000000,singlepass_eif,8,75,60385,0.916,0.933,0,0.686,101544,,91.10419906687403
shor_rsa24,shor_modmult_N16777259_a3_pow0.bin,4,1000000,singlepass_eif,8,100,60389,0.87,0.933,0,0.719,101544,,99.10731867410568
shor_rsa24,shor_modmult_N16777259_a3_pow0.bin,4,1000000,singlepass_eif,8,125,60388,0.834,0.933,0,0.667,101544,,99.45167923235093
shor_rsa24,shor_modmult_N16777259_a3_pow0.bin,4,1000000,singlepass_eif,16,150,60386,0.936,0.933,0,0.696,74216,,90.07605719501065
shor_rsa24,shor_modmult_N16777259_a3_pow0.bin,4,1000000,singlepass_eif,16,175,60385,0.901,0.933,0,0.766,74216,,98.51058435796679
shor_rsa24,shor_modmult_N16777259_a3_pow0.bin,4,1000000,singlepass_eif,16,200,60395,0.879,0.933,0,0.765,74216,,99.96752614145613
shor_rsa24,shor_modmult_N16777259_a3_pow0.bin,4,1000000,singlepass_eif,24,200,60394,0.95,0.933,0,0.712,81256,,90.89765854242769
shor_rsa24,shor_modmult_N16777259_a3_pow0.bin,4,1000000,singlepass_eif,24,225,60381,0.942,0.933,0,0.748,81256,,94.33061347839227
shor_rsa24,shor_modmult_N16777259_a3_pow0.bin,4,1000000,singlepass_eif,24,250,60384,0.923,0.933,0,0.792,81256,,99.13633559531154
shor_rsa24,shor_modmult_N16777259_a3_pow0.bin,4,1000000,singlepass_eif,32,250,60379,0.962,0.933,0,0.794,88296,,95.82890228051518
shor_rsa24,shor_modmult_N16777259_a3_pow0.bin,4,1000000,singlepass_eif,32,275,60293,0.956,0.933,0,0.82,88296,,97.32318125037177
shor_rsa24,shor_modmult_N16777259_a3_pow0.bin,4,1000000,singlepass_eif,32,300,60279,0.947,0.933,0,0.809,88296,,97.6587825669348
shor_rsa24,shor_modmult_N16777259_a3_pow0.bin,8,1000000,eif_baseline,0,0,51113,,0.945,0,0.294,88084,,
shor_rsa24,shor_modmult_N16777259_a3_pow0.bin,8,1000000,singlepass_eif,4,25,51315,0.931,0.945,0,0.613,98024,,83.37354683044528
shor_rsa24,shor_modmult_N16777259_a3_pow0.bin,8,1000000,singlepass_eif,4,50,50761,0.849,0.945,0,0.673,98024,,98.10986889728947
shor_rsa24,shor_modmult_N16777259_a3_pow0.bin,8,1000000,singlepass_eif,4,75,51537,0.796,0.945,0,0.621,98024,,99.8079011108327
shor_rsa24,shor_modmult_N16777259_a3_pow0.bin,8,1000000,singlepass_eif,8,75,50828,0.897,0.945,0,0.742,67176,,90.78997486097357
shor_rsa24,shor_modmult_N16777259_a3_pow0.bin,8,1000000,singlepass_eif,8,100,50851,0.866,0.945,0,0.756,67176,,96.23846699787083
shor_rsa24,shor_modmult_N16777259_a3_pow0.bin,8,1000000,singlepass_eif,8,125,51086,0.826,0.945,0,0.733,67176,,99.7971602434077
shor_rsa24,shor_modmult_N16777259_a3_pow0.bin,8,1000000,singlepass_eif,16,150,51031,0.914,0.945,0,0.75,74216,,91.52011922503726
shor_rsa24,shor_modmult_N16777259_a3_pow0.bin,8,1000000,singlepass_eif,16,175,52334,0.894,0.945,0,0.799,74216,,99.04676794757223
shor_rsa24,shor_modmult_N16777259_a3_pow0.bin,8,1000000,singlepass_eif,16,200,51042,0.875,0.945,0,0.791,74216,,99.69578783151326
shor_rsa24,shor_modmult_N16777259_a3_pow0.bin,8,1000000,singlepass_eif,24,200,52335,0.943,0.945,0,0.807,81256,,94.79850377584869
shor_rsa24,shor_modmult_N16777259_a3_pow0.bin,8,1000000,singlepass_eif,24,225,50733,0.929,0.945,0,0.813,81256,,96.79073856975381
shor_rsa24,shor_modmult_N16777259_a3_pow0.bin,8,1000000,singlepass_eif,24,250,50801,0.915,0.945,0,0.824,81256,,99.06340593176243
shor_rsa24,shor_modmult_N16777259_a3_pow0.bin,8,1000000,singlepass_eif,32,250,50772,0.954,0.945,0,0.847,88296,,97.59789638263095
shor_rsa24,shor_modmult_N16777259_a3_pow0.bin,8,1000000,singlepass_eif,32,275,51303,0.95,0.945,0,0.841,88296,,97.46853546910755
shor_rsa24,shor_modmult_N16777259_a3_pow0.bin,8,1000000,singlepass_eif,32,300,50738,0.942,0.945,0,0.834,88296,,97.9731679169071
shor_rsa24,shor_modmult_N16777259_a3_pow0.bin,12,1000000,eif_baseline,0,0,46841,,0.952,0,0.315,88084,,
shor_rsa24,shor_modmult_N16777259_a3_pow0.bin,12,1000000,singlepass_eif,4,25,43070,0.928,0.952,0,0.72,63656,,80.47839506172839
shor_rsa24,shor_modmult_N16777259_a3_pow0.bin,12,1000000,singlepass_eif,4,50,45625,0.841,0.952,0,0.771,63656,,96.55965331210754
shor_rsa24,shor_modmult_N16777259_a3_pow0.bin,12,1000000,singlepass_eif,4,75,45180,0.787,0.952,0,0.725,63656,,99.46266968325791
shor_rsa24,shor_modmult_N16777259_a3_pow0.bin,12,1000000,singlepass_eif,8,75,44891,0.899,0.952,0,0.774,67176,,91.42603287427809
shor_rsa24,shor_modmult_N16777259_a3_pow0.bin,12,1000000,singlepass_eif,8,100,44178,0.861,0.952,0,0.791,67176,,95.85530576371542
shor_rsa24,shor_modmult_N16777259_a3_pow0.bin,12,1000000,singlepass_eif,8,125,43108,0.825,0.952,0,0.782,67176,,99.32104752667313
shor_rsa24,shor_modmult_N16777259_a3_pow0.bin,12,1000000,singlepass_eif,16,150,44426,0.908,0.952,0,0.806,74216,,92.75629220380601
shor_rsa24,shor_modmult_N16777259_a3_pow0.bin,12,1000000,singlepass_eif,16,175,43163,0.89,0.952,0,0.811,74216,,95.25596354864648
shor_rsa24,shor_modmult_N16777259_a3_pow0.bin,12,1000000,singlepass_eif,16,200,44617,0.875,0.952,0,0.824,74216,,99.47065802683217
shor_rsa24,shor_modmult_N16777259_a3_pow0.bin,12,1000000,singlepass_eif,24,200,44626,0.945,0.952,0,0.833,81256,,94.4271140713262
shor_rsa24,shor_modmult_N16777259_a3_pow0.bin,12,1000000,singlepass_eif,24,225,49929,0.946,0.952,0,0.84,81256,,96.93002257336343
shor_rsa24,shor_modmult_N16777259_a3_pow0.bin,12,1000000,singlepass_eif,24,250,49174,0.929,0.952,0,0.828,81256,,97.6281269066504
shor_rsa24,shor_modmult_N16777259_a3_pow0.bin,12,1000000,singlepass_eif,32,250,44253,0.96,0.952,0,0.872,88296,,98.1081978094922
shor_rsa24,shor_modmult_N16777259_a3_pow0.bin,12,1000000,singlepass_eif,32,275,46101,0.956,0.952,0,0.876,88296,,98.03861003861005
shor_rsa24,shor_modmult_N16777259_a3_pow0.bin,12,1000000,singlepass_eif,32,300,46391,0.949,0.952,0,0.871,88296,,98.85496183206106
shor_rsa24,shor_modmult_N16777259_a3_pow0.bin,16,1000000,eif_baseline,0,0,37707,,0.964,0,0.443,53716,,
shor_rsa24,shor_modmult_N16777259_a3_pow0.bin,16,1000000,singlepass_eif,4,25,40156,0.91,0.964,0,0.757,63656,,81.37034502981136
shor_rsa24,shor_modmult_N16777259_a3_pow0.bin,16,1000000,singlepass_eif,4,50,37400,0.829,0.964,0,0.773,63656,,94.57994579945799
shor_rsa24,shor_modmult_N16777259_a3_pow0.bin,16,1000000,singlepass_eif,4,75,37576,0.775,0.964,0,0.74,63656,,98.54319736508741
shor_rsa24,shor_modmult_N16777259_a3_pow0.bin,16,1000000,singlepass_eif,8,75,38415,0.891,0.964,0,0.822,67176,,91.58326661329063
shor_rsa24,shor_modmult_N16777259_a3_pow0.bin,16,1000000,singlepass_eif,8,100,37567,0.859,0.964,0,0.81,67176,,94.93527140585964
shor_rsa24,shor_modmult_N16777259_a3_pow0.bin,16,1000000,singlepass_eif,8,125,36981,0.815,0.964,0,0.786,67176,,98.92716652759566
shor_rsa24,shor_modmult_N16777259_a3_pow0.bin,16,1000000,singlepass_eif,16,150,37182,0.904,0.964,0,0.833,74216,,92.6690314952166
shor_rsa24,shor_modmult_N16777259_a3_pow0.bin,16,1000000,singlepass_eif,16,175,36632,0.885,0.964,0,0.833,74216,,95.15428074750109
shor_rsa24,shor_modmult_N16777259_a3_pow0.bin,16,1000000,singlepass_eif,16,200,36240,0.872,0.964,0,0.846,74216,,97.27747527503055
shor_rsa24,shor_modmult_N16777259_a3_pow0.bin,16,1000000,singlepass_eif,24,200,37803,0.944,0.964,0,0.873,81256,,95.29953917050692
shor_rsa24,shor_modmult_N16777259_a3_pow0.bin,16,1000000,singlepass_eif,24,225,36241,0.936,0.964,0,0.875,81256,,95.71310799670239
shor_rsa24,shor_modmult_N16777259_a3_pow0.bin,16,1000000,singlepass_eif,24,250,37415,0.926,0.964,0,0.871,81256,,96.0530437506526
shor_rsa24,shor_modmult_N16777259_a3_pow0.bin,16,1000000,singlepass_eif,32,250,38272,0.964,0.964,0,0.894,88296,,98.79607334691609
shor_rsa24,shor_modmult_N16777259_a3_pow0.bin,16,1000000,singlepass_eif,32,275,39371,0.962,0.964,0,0.891,88296,,98.62594002413888
shor_rsa24,shor_modmult_N16777259_a3_pow0.bin,16,1000000,singlepass_eif,32,300,38340,0.96,0.964,0,0.892,88296,,98.67211440245148
grover_sat,sat_grover_schoning_n784_new.bin,4,1000000,eif_baseline,0,0,107218,,0.893,0,0.165,380132,,
grover_sat,sat_grover_schoning_n784_new.bin,4,1000000,singlepass_eif,4,25,107218,0.96,0.893,0,0.517,362276,,89.56078930617441
grover_sat,sat_grover_schoning_n784_new.bin,4,1000000,singlepass_eif,4,50,107215,0.882,0.893,0,0.496,362276,,97.67263230662877
grover_sat,sat_grover_schoning_n784_new.bin,4,1000000,singlepass_eif,4,75,107218,0.86,0.893,0,0.479,362276,,99.26855165362382
grover_sat,sat_grover_schoning_n784_new.bin,4,1000000,singlepass_eif,8,75,107215,0.999,0.893,0,0.858,365796,,99.9222342439816
grover_sat,sat_grover_schoning_n784_new.bin,4,1000000,singlepass_eif,8,100,107215,0.999,0.893,0,0.859,365796,,99.96277747698971
grover_sat,sat_grover_schoning_n784_new.bin,4,1000000,singlepass_eif,8,125,107218,0.998,0.893,0,0.858,365796,,99.97291991063571
grover_sat,sat_grover_schoning_n784_new.bin,4,1000000,singlepass_eif,16,150,107219,0.999,0.893,0,0.857,372836,,99.9324141659908
grover_sat,sat_grover_schoning_n784_new.bin,4,1000000,singlepass_eif,16,175,107219,0.999,0.893,0,0.858,372836,,99.94590574075326
grover_sat,sat_grover_schoning_n784_new.bin,4,1000000,singlepass_eif,16,200,107212,0.999,0.893,0,0.857,372836,,99.96279510248259
grover_sat,sat_grover_schoning_n784_new.bin,4,1000000,singlepass_eif,24,200,107218,0.999,0.893,0,0.858,379876,,99.87172129764035
grover_sat,sat_grover_schoning_n784_new.bin,4,1000000,singlepass_eif,24,225,107218,0.999,0.893,0,0.857,379876,,99.88856245567825
grover_sat,sat_grover_schoning_n784_new.bin,4,1000000,singlepass_eif,24,250,107216,0.999,0.893,0,0.858,379876,,99.95946356788163
grover_sat,sat_grover_schoning_n784_new.bin,4,1000000,singlepass_eif,32,250,107218,0.999,0.893,0,0.855,386916,,99.91228957932732
grover_sat,sat_grover_schoning_n784_new.bin,4,1000000,singlepass_eif,32,275,107213,0.999,0.893,0,0.857,386916,,99.95611666216581
grover_sat,sat_grover_schoning_n784_new.bin,4,1000000,singlepass_eif,32,300,107218,0.999,0.893,0,0.857,386916,,99.96961717642293
grover_sat,sat_grover_schoning_n784_new.bin,8,1000000,eif_baseline,0,0,55133,,0.974,0,0.258,352336,,
grover_sat,sat_grover_schoning_n784_new.bin,8,1000000,singlepass_eif,4,25,55133,0.986,0.974,0,0.823,362276,,96.170419794273
grover_sat,sat_grover_schoning_n784_new.bin,8,1000000,singlepass_eif,4,50,55108,0.946,0.974,0,0.808,362276,,98.71107892831282
grover_sat,sat_grover_schoning_n784_new.bin,8,1000000,singlepass_eif,4,75,55133,0.93,0.974,0,0.793,362276,,99.61812440331938
grover_sat,sat_grover_schoning_n784_new.bin,8,1000000,singlepass_eif,8,75,40979,0.996,0.974,0,0.976,365796,,99.88039378047658
grover_sat,sat_grover_schoning_n784_new.bin,8,1000000,singlepass_eif,8,100,55108,0.997,0.974,0,0.948,365796,,99.93784101111956
grover_sat,sat_grover_schoning_n784_new.bin,8,1000000,singlepass_eif,8,125,55108,0.997,0.974,0,0.949,365796,,99.92399115533443
grover_sat,sat_grover_schoning_n784_new.bin,8,1000000,singlepass_eif,16,150,55108,0.997,0.974,0,0.948,372836,,99.86207847734639
