benchmark,raw_file,compute_capacity,sim_instructions,scheduler,intermediate_capacity,min_layer_distance,compile_mem_accesses,compile_prefetch_coverage,baseline_ipc,baseline_mem_phys_qubits,ipc,mem_phys_qubits,sim_miss_rate_pct,prefetch_ready_on_load_pct
cr2,BQ_e_cr2_120_d100_t1M_T5M.xz,12,1000000,singlepass_eif,4,75,195685,0.461,0.736,0,0.163,98024,,96.98418216582652
cr2,BQ_e_cr2_120_d100_t1M_T5M.xz,12,1000000,singlepass_eif,8,75,193878,0.799,0.736,0,0.169,101544,,58.18200341288236
cr2,BQ_e_cr2_120_d100_t1M_T5M.xz,12,1000000,singlepass_eif,8,100,193822,0.681,0.736,0,0.216,101544,,86.41935005193649
cr2,BQ_e_cr2_120_d100_t1M_T5M.xz,12,1000000,singlepass_eif,8,125,195545,0.599,0.736,0,0.197,101544,,97.84351861330057
cr2,BQ_e_cr2_120_d100_t1M_T5M.xz,12,1000000,singlepass_eif,16,150,193422,0.929,0.736,0,0.44,74216,,92.8525648109267
cr2,BQ_e_cr2_120_d100_t1M_T5M.xz,12,1000000,singlepass_eif,16,175,193475,0.907,0.736,0,0.449,74216,,96.15052492841885
cr2,BQ_e_cr2_120_d100_t1M_T5M.xz,12,1000000,singlepass_eif,16,200,192032,0.885,0.736,0,0.515,74216,,99.06270040945192
cr2,BQ_e_cr2_120_d100_t1M_T5M.xz,12,1000000,singlepass_eif,24,200,193767,0.993,0.736,0,0.672,81256,,99.26136941703123
cr2,BQ_e_cr2_120_d100_t1M_T5M.xz,12,1000000,singlepass_eif,24,225,193853,0.991,0.736,0,0.671,81256,,99.41685017535275
cr2,BQ_e_cr2_120_d100_t1M_T5M.xz,12,1000000,singlepass_eif,24,250,194960,0.988,0.736,0,0.665,81256,,99.60625076904147
cr2,BQ_e_cr2_120_d100_t1M_T5M.xz,12,1000000,singlepass_eif,32,250,195195,0.999,0.736,0,0.693,88296,,99.93350543690839
cr2,BQ_e_cr2_120_d100_t1M_T5M.xz,12,1000000,singlepass_eif,32,275,195992,0.999,0.736,0,0.699,88296,,99.88097639701432
cr2,BQ_e_cr2_120_d100_t1M_T5M.xz,12,1000000,singlepass_eif,32,300,193824,0.998,0.736,0,0.702,88296,,99.95159533701747
cr2,BQ_e_cr2_120_d100_t1M_T5M.xz,16,1000000,eif_baseline,0,0,187003,,0.733,0,0.085,88084,,
cr2,BQ_e_cr2_120_d100_t1M_T5M.xz,16,1000000,singlepass_eif,4,25,190478,0.85,0.733,0,0.113,98024,,21.13819132665647
cr2,BQ_e_cr2_120_d100_t1M_T5M.xz,16,1000000,singlepass_eif,4,50,190519,0.627,0.733,0,0.183,98024,,77.5350249828549
cr2,BQ_e_cr2_120_d100_t1M_T5M.xz,16,1000000,singlepass_eif,4,75,189591,0.473,0.733,0,0.162,98024,,96.51107354917002
cr2,BQ_e_cr2_120_d100_t1M_T5M.xz,16,1000000,singlepass_eif,8,75,188071,0.82,0.733,0,0.244,67176,,59.390705946029534
cr2,BQ_e_cr2_120_d100_t1M_T5M.xz,16,1000000,singlepass_eif,8,100,190443,0.698,0.733,0,0.279,67176,,89.32298635268933
cr2,BQ_e_cr2_120_d100_t1M_T5M.xz,16,1000000,singlepass_eif,8,125,191079,0.608,0.733,0,0.242,67176,,98.20724642649024
cr2,BQ_e_cr2_120_d100_t1M_T5M.xz,16,1000000,singlepass_eif,16,150,190494,0.938,0.733,0,0.438,74216,,92.88673268204072
cr2,BQ_e_cr2_120_d100_t1M_T5M.xz,16,1000000,singlepass_eif,16,175,188885,0.918,0.733,0,0.454,74216,,95.49895404703341
cr2,BQ_e_cr2_120_d100_t1M_T5M.xz,16,1000000,singlepass_eif,16,200,188931,0.896,0.733,0,0.445,74216,,98.23760408781226
cr2,BQ_e_cr2_120_d100_t1M_T5M.xz,16,1000000,singlepass_eif,24,200,190250,0.995,0.733,0,0.684,81256,,99.45561835106383
cr2,BQ_e_cr2_120_d100_t1M_T5M.xz,16,1000000,singlepass_eif,24,225,189853,0.993,0.733,0,0.673,81256,,99.4852683810661
cr2,BQ_e_cr2_120_d100_t1M_T5M.xz,16,1000000,singlepass_eif,24,250,189639,0.99,0.733,0,0.665,81256,,99.66532522996057
cr2,BQ_e_cr2_120_d100_t1M_T5M.xz,16,1000000,singlepass_eif,32,250,191555,0.999,0.733,0,0.702,88296,,99.96908618770867
cr2,BQ_e_cr2_120_d100_t1M_T5M.xz,16,1000000,singlepass_eif,32,275,192935,0.999,0.733,0,0.702,88296,,99.95075104654026
cr2,BQ_e_cr2_120_d100_t1M_T5M.xz,16,1000000,singlepass_eif,32,300,189120,0.999,0.733,0,0.697,88296,,99.94701338930894
h60,e_h60_121_td_1000by40.bin,4,1000000,eif_baseline,0,0,169906,,0.746,0,0.118,88084,,
h60,e_h60_121_td_1000by40.bin,4,1000000,singlepass_eif,4,25,169813,0.8,0.746,0,0.152,98024,,43.321533763882506
h60,e_h60_121_td_1000by40.bin,4,1000000,singlepass_eif,4,50,169895,0.553,0.746,0,0.211,98024,,91.14573290655972
h60,e_h60_121_td_1000by40.bin,4,1000000,singlepass_eif,4,75,169789,0.42,0.746,0,0.178,98024,,97.27226463104326
h60,e_h60_121_td_1000by40.bin,4,1000000,singlepass_eif,8,75,169827,0.764,0.746,0,0.232,101544,,77.54389914452949
h60,e_h60_121_td_1000by40.bin,4,1000000,singlepass_eif,8,100,169946,0.65,0.746,0,0.242,101544,,94.63931827189853
h60,e_h60_121_td_1000by40.bin,4,1000000,singlepass_eif,8,125,169811,0.56,0.746,0,0.209,101544,,98.29108842757196
h60,e_h60_121_td_1000by40.bin,4,1000000,singlepass_eif,16,150,169869,0.878,0.746,0,0.35,108584,,94.20749704840614
h60,e_h60_121_td_1000by40.bin,4,1000000,singlepass_eif,16,175,169816,0.838,0.746,0,0.35,108584,,97.77920906865903
h60,e_h60_121_td_1000by40.bin,4,1000000,singlepass_eif,16,200,169854,0.803,0.746,0,0.323,108584,,99.0093442930199
h60,e_h60_121_td_1000by40.bin,4,1000000,singlepass_eif,24,200,169868,0.983,0.746,0,0.634,81256,,98.49248414284473
h60,e_h60_121_td_1000by40.bin,4,1000000,singlepass_eif,24,225,169839,0.973,0.746,0,0.628,81256,,99.14805787936675
h60,e_h60_121_td_1000by40.bin,4,1000000,singlepass_eif,24,250,169858,0.961,0.746,0,0.611,81256,,99.52641408751334
h60,e_h60_121_td_1000by40.bin,4,1000000,singlepass_eif,32,250,169880,0.998,0.746,0,0.712,88296,,99.7874285228408
h60,e_h60_121_td_1000by40.bin,4,1000000,singlepass_eif,32,275,169854,0.997,0.746,0,0.708,88296,,99.78073910081744
h60,e_h60_121_td_1000by40.bin,4,1000000,singlepass_eif,32,300,169818,0.995,0.746,0,0.706,88296,,99.8356000597818
h60,e_h60_121_td_1000by40.bin,8,1000000,eif_baseline,0,0,137950,,0.814,0,0.137,88084,,
h60,e_h60_121_td_1000by40.bin,8,1000000,singlepass_eif,4,25,137922,0.76,0.814,0,0.18,98024,,35.34233197307384
h60,e_h60_121_td_1000by40.bin,8,1000000,singlepass_eif,4,50,138047,0.539,0.814,0,0.265,98024,,88.38967754524612
h60,e_h60_121_td_1000by40.bin,8,1000000,singlepass_eif,4,75,137768,0.41,0.814,0,0.223,98024,,97.847809377402
h60,e_h60_121_td_1000by40.bin,8,1000000,singlepass_eif,8,75,137834,0.728,0.814,0,0.282,101544,,74.7971916039143
